force_x,force_y,force_z,trans_x,trans_y,trans_z,trans_r_x,trans_r_y,trans_r_z,trans_r_w
0.000000,0.420000,-0.060000,0.010059,-0.075192,-0.000020,0.002047,0.000006,-0.000460,0.999998
0.000000,0.420000,-0.060000,0.010059,-0.075192,-0.000020,0.002047,0.000006,-0.000460,0.999998
0.000000,0.420000,-0.060000,0.010059,-0.075192,-0.000020,0.002047,0.000006,-0.000442,0.999998
0.000000,0.420000,-0.060000,0.010059,-0.075192,-0.000020,0.002047,0.000006,-0.000442,0.999998
0.000000,0.420000,-0.060000,0.010062,-0.075195,-0.000019,0.002047,0.000007,-0.000433,0.999998
0.000000,0.420000,-0.060000,0.010062,-0.075195,-0.000019,0.002047,0.000007,-0.000433,0.999998
0.000000,0.420000,-0.060000,0.010059,-0.075187,-0.000015,0.002038,0.000006,-0.000442,0.999998
0.000000,0.420000,-0.060000,0.010059,-0.075187,-0.000015,0.002038,0.000006,-0.000442,0.999998
0.000000,0.420000,-0.060000,0.010059,-0.075192,-0.000020,0.002047,0.000006,-0.000460,0.999998
0.000000,0.420000,-0.060000,0.010062,-0.075190,-0.000014,0.002038,0.000007,-0.000451,0.999998
0.000000,0.420000,-0.060000,0.010062,-0.075190,-0.000014,0.002038,0.000007,-0.000451,0.999998
0.000000,0.420000,-0.060000,0.010059,-0.075192,-0.000020,0.002047,0.000006,-0.000460,0.999998
0.000000,0.420000,-0.060000,0.010059,-0.075192,-0.000020,0.002047,0.000006,-0.000460,0.999998
0.000000,0.420000,-0.060000,0.010066,-0.075187,-0.000014,0.002033,0.000015,-0.000433,0.999998
0.000000,0.420000,-0.060000,0.010059,-0.075187,-0.000015,0.002038,0.000006,-0.000442,0.999998
0.000000,0.420000,-0.060000,0.010059,-0.075187,-0.000015,0.002038,0.000006,-0.000442,0.999998
0.000000,0.420000,-0.060000,0.010059,-0.075187,-0.000015,0.002038,0.000006,-0.000460,0.999998
0.000000,0.420000,-0.060000,0.010059,-0.075187,-0.000015,0.002038,0.000006,-0.000460,0.999998
0.000000,0.420000,-0.060000,0.010059,-0.075187,-0.000015,0.002038,0.000006,-0.000460,0.999998
0.000000,0.420000,-0.060000,0.010059,-0.075233,-0.000053,0.002108,0.000006,-0.000442,0.999998
0.000000,0.420000,-0.060000,0.010059,-0.075233,-0.000053,0.002108,0.000006,-0.000442,0.999998
0.000000,0.420000,-0.060000,0.010069,-0.075189,-0.000020,0.002042,0.000015,-0.000433,0.999998
0.000000,0.420000,-0.060000,0.010061,-0.075191,-0.000024,0.002043,0.000009,-0.000442,0.999998
0.000000,0.420000,-0.060000,0.010061,-0.075191,-0.000024,0.002043,0.000009,-0.000442,0.999998
0.000000,0.420000,-0.060000,0.010059,-0.075187,-0.000015,0.002038,0.000006,-0.000442,0.999998
0.000000,0.420000,-0.060000,0.010064,-0.075172,-0.000005,0.002016,0.000014,-0.000442,0.999998
0.000000,0.420000,-0.060000,0.010064,-0.075172,-0.000005,0.002016,0.000014,-0.000442,0.999998
0.000000,0.420000,-0.060000,0.010062,-0.075190,-0.000014,0.002038,0.000007,-0.000433,0.999998
0.000000,0.420000,-0.060000,0.010062,-0.075190,-0.000014,0.002038,0.000007,-0.000433,0.999998
0.000000,0.420000,-0.060000,0.010059,-0.075187,-0.000015,0.002038,0.000006,-0.000442,0.999998
0.000000,0.420000,-0.060000,0.010065,-0.075186,-0.000015,0.002038,0.000007,-0.000451,0.999998
0.000000,0.420000,-0.060000,0.010065,-0.075186,-0.000015,0.002038,0.000007,-0.000451,0.999998
0.000000,0.420000,-0.060000,0.010064,-0.075184,-0.000015,0.002033,0.000014,-0.000442,0.999998
0.000000,0.420000,-0.060000,0.010059,-0.075187,-0.000015,0.002038,0.000006,-0.000442,0.999998
0.000000,0.420000,-0.060000,0.010059,-0.075187,-0.000015,0.002038,0.000006,-0.000442,0.999998
0.000000,0.420000,-0.060000,0.010064,-0.075184,-0.000015,0.002033,0.000014,-0.000442,0.999998
0.000000,0.420000,-0.060000,0.010064,-0.075184,-0.000015,0.002033,0.000014,-0.000442,0.999998
